group,ticker,mapped_cusip,report_date,shares_held_total,value_usd_thousands_total,shares_outstanding
BVS,AAPL,037833100,2021-12-31,1865112435,331188015,16406397000
BVS,AAPL,037833100,2022-03-31,1854436599,323803175,16319441000
BVS,AAPL,037833100,2022-06-30,1843951508,252105050,16185181000
BVS,AAPL,037833100,2022-09-30,1832560152,253259813,16070752000
BVS,AAPL,037833100,2022-12-31,631483467,82048646868,15908118000
BVS,AAPL,037833100,2023-03-31,1852366711,305454954465,15821946000
BVS,AAPL,037833100,2023-06-30,1850340182,358910485102,15728702000
BVS,AAPL,037833100,2023-09-30,1835469390,314250714262,15634232000
BVS,AAPL,037833100,2023-12-31,627773537,120865239078,15552752000
BVS,AAPL,037833100,2024-03-31,629612805,107966003802,15441881000
BVS,AAPL,037833100,2024-06-30,569068041,119855705999,15334082000
BVS,AAPL,037833100,2024-09-30,614595330,143200687341,15204137000
BVS,AAPL,037833100,2024-12-31,624398186,156369133769,15115823000
BVS,AAPL,037833100,2025-03-31,625597678,138964012161,15022073000
BVS,AAPL,037833100,2025-06-30,633681312,130012394762,14935826000
BVS,AAPL,037833100,2025-09-30,653429784,166382825899,14840390000
BVS,AAPL,037833100,2025-12-31,233,63335,14776353000
BVS,AMZN,023135106,2013-06-30,24388077,6772331,455242694
BVS,AMZN,023135106,2013-09-30,25141216,7860147,456883519
BVS,AMZN,023135106,2013-12-31,24936657,9944483,457733620
BVS,AMZN,023135106,2014-03-31,23806456,8009863,459264535
BVS,AMZN,023135106,2014-06-30,24004635,7796229,460167404
BVS,AMZN,023135106,2014-09-30,24731232,7974328,462036113
BVS,AMZN,023135106,2014-12-31,26131401,8109878,463006452
BVS,AMZN,023135106,2015-03-31,25794177,9598017,464383939
BVS,AMZN,023135106,2015-06-30,10241747,4445840,465680957
BVS,AMZN,023135106,2015-09-30,9881319,5058149,467710218
BVS,AMZN,023135106,2015-12-31,25178744,17018063,468762005
BVS,AMZN,023135106,2016-03-31,25638243,15219889,470842035
BVS,AMZN,023135106,2016-06-30,25545978,18281216,471827960
BVS,AMZN,023135106,2016-09-30,26705669,22360922,474073542
BVS,AMZN,023135106,2016-12-31,26957344,20214506,475166527
BVS,AMZN,023135106,2017-03-31,17523465,15535250,477170618
BVS,AMZN,023135106,2017-06-30,17325460,16771046,477975499
BVS,AMZN,023135106,2017-09-30,16461487,15825243,480379517
BVS,AMZN,023135106,2017-12-31,16996759,19877217,481872175
BVS,AMZN,023135106,2018-03-31,16207130,23457227,484107183
BVS,AMZN,023135106,2018-06-30,16836874,28619320,485226904
BVS,AMZN,023135106,2018-09-30,17340615,34733259,487741189
BVS,AMZN,023135106,2018-12-31,17003045,25538278,488968628
BVS,AMZN,023135106,2019-03-31,18071976,32181671,491202890
BVS,AMZN,023135106,2019-06-30,18074239,34225922,492331776
BVS,AMZN,023135106,2019-09-30,17973860,31201004,494656015
BVS,AMZN,023135106,2019-12-31,18159307,33555493,495797220
BVS,AMZN,023135106,2020-03-31,48324724,94219681,497810444
BVS,AMZN,023135106,2020-06-30,17977520,49596741,498776032
BVS,AMZN,023135106,2020-09-30,48277713,152013483,500889651
BVS,AMZN,023135106,2020-12-31,17557538,57183672,501751183
BVS,AMZN,023135106,2021-03-31,17425803,53916828,503564743
BVS,AMZN,023135106,2021-06-30,17476804,60123002,504323736
BVS,AMZN,023135106,2021-09-30,48766607,160200254,506440520
BVS,AMZN,023135106,2021-12-31,49591657,165355445,507147620
BVS,AMZN,023135106,2022-03-31,49696793,162009061,508844410
BVS,AMZN,023135106,2022-06-30,997542819,105949022,
BVS,AMZN,023135106,2022-09-30,1012821816,114448865,10187554818
BVS,AMZN,023135106,2022-12-31,362470932,30447558288,10201654176
BVS,AMZN,023135106,2023-03-31,1035335940,106939760076,10247259757
BVS,AMZN,023135106,2023-06-30,1042794759,135938724783,10260353688
BVS,AMZN,023135106,2023-09-30,1070514978,136083864003,10317750796
