group,ticker,mapped_cusip,report_date,shares_or_principal_consolidated,value_usd_thousands_consolidated,consolidation_method,selected_filer_cik,selected_accession,selected_filing_date,shares_outstanding
StateStreet,AMZN,023135106,2021-03-31,15873531,49113975,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-21-000609,2021-07-09,503564743
StateStreet,AMZN,023135106,2021-06-30,15963398,54916643,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-21-000640,2021-08-16,504323736
StateStreet,AMZN,023135106,2021-09-30,16322646,53620545,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-21-000697,2021-11-15,506440520
StateStreet,AMZN,023135106,2021-12-31,17021616,56755855,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-22-000401,2022-02-14,507147620
StateStreet,AMZN,023135106,2022-03-31,16593001,54092354,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-22-000509,2022-05-16,508844410
StateStreet,AMZN,023135106,2022-06-30,326727487,34701726,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-22-000593,2022-08-15,508720481
StateStreet,AMZN,023135106,2022-09-30,329849003,37272937,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-22-000636,2022-11-15,10187554818
StateStreet,AMZN,023135106,2022-12-31,336270158,28246693272,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-23-000581,2023-05-15,10201654176
StateStreet,AMZN,023135106,2023-03-31,331899567,34281817109,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-23-000580,2023-05-15,10247259757
StateStreet,AMZN,023135106,2023-06-30,335869897,43783999773,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-23-000666,2023-08-14,10260353688
StateStreet,AMZN,023135106,2023-09-30,332449318,42260957304,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-23-000703,2023-11-14,10317750796
StateStreet,AMZN,023135106,2023-12-31,344669717,52369116801,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-24-000484,2024-02-14,10334030586
StateStreet,AMZN,023135106,2024-03-31,351606995,63422869758,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-24-000592,2024-05-15,10387381291
