group,ticker,mapped_cusip,report_date,shares_or_principal_consolidated,value_usd_thousands_consolidated,consolidation_method,selected_filer_cik,selected_accession,selected_filing_date,shares_outstanding
Vanguard,AMZN,023135106,2015-09-30,32700,16739,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-15-011453,2015-11-12,467710218
Vanguard,AMZN,023135106,2015-12-31,124202,83947,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-16-013563,2016-02-08,468762005
Vanguard,AMZN,023135106,2016-03-31,644911,382845,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-16-016978,2016-05-13,470842035
Vanguard,AMZN,023135106,2016-06-30,620879,444313,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-16-019102,2016-08-10,471827960
Vanguard,AMZN,023135106,2016-09-30,579451,485180,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-16-022127,2016-11-14,474073542
Vanguard,AMZN,023135106,2016-12-31,108802,81587,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-17-002379,2017-02-14,475166527
Vanguard,AMZN,023135106,2017-03-31,504483,447244,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-17-004736,2017-05-12,477170618
Vanguard,AMZN,023135106,2017-06-30,485758,470214,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-17-008227,2017-08-24,477975499
Vanguard,AMZN,023135106,2017-09-30,113453,109068,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-17-010861,2017-11-14,480379517
Vanguard,AMZN,023135106,2017-12-31,446619,522308,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-18-002112,2018-02-14,481872175
Vanguard,AMZN,023135106,2018-03-31,443315,641628,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-18-005610,2018-05-15,484107183
Vanguard,AMZN,023135106,2018-06-30,407369,692446,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-18-008557,2018-08-14,485226904
Vanguard,AMZN,023135106,2018-09-30,414262,829767,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-18-012369,2018-12-13,487741189
Vanguard,AMZN,023135106,2018-12-31,119586,179615,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-19-001986,2019-02-14,488968628
Vanguard,AMZN,023135106,2019-03-31,380023,676726,MAX_ACROSS_FILER_CIKS,0000102909,0001144204-19-026247,2019-05-15,491202890
Vanguard,AMZN,023135106,2019-06-30,378200,716171,MAX_ACROSS_FILER_CIKS,0000102909,0001144204-19-039761,2019-08-14,492331776
Vanguard,AMZN,023135106,2019-09-30,109737,190494,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-19-063765,2019-11-14,494656015
Vanguard,AMZN,023135106,2019-12-31,110533,204247,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-20-020869,2020-02-14,495797220
Vanguard,AMZN,023135106,2020-03-31,30919539,60284444,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-20-062244,2020-05-15,497810444
Vanguard,AMZN,023135106,2020-06-30,499621,1378364,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-20-095098,2020-08-14,498776032
Vanguard,AMZN,023135106,2020-09-30,30817518,97036043,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-20-125446,2020-11-16,500889651
Vanguard,AMZN,023135106,2020-12-31,478925,1559825,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-21-021334,2021-02-12,501751183
Vanguard,AMZN,023135106,2021-03-31,468181,1448589,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-21-066511,2021-05-14,503564743
Vanguard,AMZN,023135106,2021-06-30,469166,1614006,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-21-104704,2021-08-13,504323736
Vanguard,AMZN,023135106,2021-09-30,31410295,103184075,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-21-137530,2021-11-12,506440520
Vanguard,AMZN,023135106,2021-12-31,31601726,105370899,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-22-021622,2022-02-14,507147620
Vanguard,AMZN,023135106,2022-03-31,32186465,104926267,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-22-059997,2022-05-13,508844410
Vanguard,AMZN,023135106,2022-06-30,652663911,69319434,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-22-089759,2022-08-12,
Vanguard,AMZN,023135106,2022-09-30,664770900,75119112,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-22-117903,2022-11-14,10187554818
Vanguard,AMZN,023135106,2022-12-31,7799719,655176396,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-23-018441,2023-02-10,10201654176
Vanguard,AMZN,023135106,2023-03-31,684999991,70753649070,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-23-081271,2023-07-14,10247259757
Vanguard,AMZN,023135106,2023-06-30,688418531,89742239701,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-23-090886,2023-08-14,10260353688
Vanguard,AMZN,023135106,2023-09-30,719671402,91484628622,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-23-126756,2023-12-18,10317750796
Vanguard,AMZN,023135106,2023-12-31,6810158,1034735407,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-24-032991,2024-03-11,10334030586
Vanguard,AMZN,023135106,2024-03-31,6812684,1228871940,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-24-059892,2024-05-10,10387381291
Vanguard,AMZN,023135106,2024-06-30,6934250,1340043812,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-24-088892,2024-08-13,10406627415
Vanguard,AMZN,023135106,2024-09-30,31258762,5824445123,MAX_ACROSS_FILER_CIKS,0000102909,0001752724-24-248565,2024-11-13,10495566881
Vanguard,AMZN,023135106,2024-12-31,32258913,7077282923,MAX_ACROSS_FILER_CIKS,0000102909,0001752724-25-022205,2025-02-11,10515011008
Vanguard,AMZN,023135106,2025-03-31,19822912,3771507237,MAX_ACROSS_FILER_CIKS,0000102909,0001752724-25-099331,2025-05-09,10597729352
Vanguard,AMZN,023135106,2025-06-30,20316883,4457320961,MAX_ACROSS_FILER_CIKS,0000102909,0001752724-25-185843,2025-08-11,10616352407
Vanguard,AMZN,023135106,2025-09-30,33,7246,MAX_ACROSS_FILER_CIKS,0000102909,0000102909-25-000353,2025-11-07,10664912097
Vanguard,AMZN,023135106,2025-12-31,21157972,4883683097,MAX_ACROSS_FILER_CIKS,0000102909,0000102909-26-000031,2026-01-29,10690216011
Vanguard,MSFT,594918104,2013-06-30,10457766,361107,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-13-006181,2013-08-13,8351106590
Vanguard,MSFT,594918104,2013-09-30,10163064,338532,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-13-008549,2013-11-07,8329956402
Vanguard,MSFT,594918104,2013-12-31,9790364,366453,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-14-001756,2014-02-12,8347968348
Vanguard,MSFT,594918104,2014-03-31,1884832,77259,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-14-005578,2014-05-13,8300723725
Vanguard,MSFT,594918104,2014-06-30,2193832,91483,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-14-008218,2014-08-11,8260411967
Vanguard,MSFT,594918104,2014-09-30,2215132,102694,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-14-011471,2014-11-12,8239848789
Vanguard,MSFT,594918104,2014-12-31,11184208,519506,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-15-001662,2015-02-12,8242852827
Vanguard,MSFT,594918104,2015-03-31,11218508,456088,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-15-006550,2015-05-15,8203785341
Vanguard,MSFT,594918104,2015-06-30,10895008,481015,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-15-008811,2015-08-13,8089575277
Vanguard,MSFT,594918104,2015-09-30,640600,28353,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-15-011453,2015-11-12,7997980969
Vanguard,MSFT,594918104,2015-12-31,2372632,131634,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-16-013563,2016-02-08,7987913152
Vanguard,MSFT,594918104,2016-03-31,13217560,730006,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-16-016978,2016-05-13,7909302774
Vanguard,MSFT,594918104,2016-06-30,12547127,642036,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-16-019102,2016-08-10,7860466856
Vanguard,MSFT,594918104,2016-09-30,11448901,659457,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-16-022127,2016-11-14,7792515573
Vanguard,MSFT,594918104,2016-12-31,2001846,124395,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-17-002379,2017-02-14,7775350501
Vanguard,MSFT,594918104,2017-03-31,9839457,648027,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-17-004736,2017-05-12,7727529820
Vanguard,MSFT,594918104,2017-06-30,9403048,648152,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-17-008227,2017-08-24,7720514731
Vanguard,MSFT,594918104,2017-09-30,2046553,152448,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-17-010861,2017-11-14,7702243979
Vanguard,MSFT,594918104,2017-12-31,8578597,733813,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-18-002112,2018-02-14,7714590195
Vanguard,MSFT,594918104,2018-03-31,8447348,770989,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-18-005610,2018-05-15,7699792852
Vanguard,MSFT,594918104,2018-06-30,7705133,759803,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-18-008557,2018-08-14,7683197503
Vanguard,MSFT,594918104,2018-09-30,7718078,882717,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-18-012369,2018-12-13,7668217316
Vanguard,MSFT,594918104,2018-12-31,2108953,214206,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-19-001986,2019-02-14,7676218736
Vanguard,MSFT,594918104,2019-03-31,7019650,827898,MAX_ACROSS_FILER_CIKS,0000102909,0001144204-19-026247,2019-05-15,7672213446
Vanguard,MSFT,594918104,2019-06-30,6982184,935333,MAX_ACROSS_FILER_CIKS,0000102909,0001144204-19-039761,2019-08-14,7662817920
Vanguard,MSFT,594918104,2019-09-30,1912135,265844,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-19-063765,2019-11-14,7635409400
Vanguard,MSFT,594918104,2019-12-31,1916755,302272,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-20-020869,2020-02-14,7628805618
Vanguard,MSFT,594918104,2020-03-31,603059526,95108518,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-20-062244,2020-05-15,7606047010
Vanguard,MSFT,594918104,2020-06-30,8990995,1829757,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-20-095098,2020-08-14,7583440247
Vanguard,MSFT,594918104,2020-09-30,588071941,123689171,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-20-125446,2020-11-16,7567652935
Vanguard,MSFT,594918104,2020-12-31,8482180,1886606,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-21-021334,2021-02-12,7560495969
Vanguard,MSFT,594918104,2021-03-31,8254156,1946082,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-21-066511,2021-05-14,7542215767
Vanguard,MSFT,594918104,2021-06-30,8219327,2226616,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-21-104704,2021-08-13,7531574551
Vanguard,MSFT,594918104,2021-09-30,581966010,164067858,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-21-137530,2021-11-12,7514891248
Vanguard,MSFT,594918104,2021-12-31,584983787,196741747,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-22-021622,2022-02-14,7507980444
Vanguard,MSFT,594918104,2022-03-31,591445167,182348459,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-22-059997,2022-05-13,7496866428
Vanguard,MSFT,594918104,2022-06-30,597549927,153468748,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-22-089759,2022-08-12,7479033135
Vanguard,MSFT,594918104,2022-09-30,603670311,140594815,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-22-117903,2022-11-14,7457891872
Vanguard,MSFT,594918104,2022-12-31,6555356,1572105476,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-23-018441,2023-02-10,7454473144
Vanguard,MSFT,594918104,2023-03-31,617968599,178160347092,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-23-081271,2023-07-14,7443803533
Vanguard,MSFT,594918104,2023-06-30,622497532,211985309547,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-23-090886,2023-08-14,7435487575
Vanguard,MSFT,594918104,2023-09-30,618120954,195171691226,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-23-126756,2023-12-18,7429763722
Vanguard,MSFT,594918104,2023-12-31,5583701,2099694924,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-24-032991,2024-03-11,7432262329
Vanguard,MSFT,594918104,2024-03-31,5565414,2341480978,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-24-059892,2024-05-10,7430436229
Vanguard,MSFT,594918104,2024-06-30,5602538,2504054359,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-24-088892,2024-08-13,7432305794
Vanguard,MSFT,594918104,2024-09-30,640118190,275442857157,MAX_ACROSS_FILER_CIKS,0000102909,0001752724-24-248565,2024-11-13,7433038381
Vanguard,MSFT,594918104,2024-12-31,650098910,274016690565,MAX_ACROSS_FILER_CIKS,0000102909,0001752724-25-022205,2025-02-11,7434880776
Vanguard,MSFT,594918104,2025-03-31,656520494,246451228243,MAX_ACROSS_FILER_CIKS,0000102909,0001752724-25-099331,2025-05-09,7433982235
Vanguard,MSFT,594918104,2025-06-30,669106467,332820247750,MAX_ACROSS_FILER_CIKS,0000102909,0001752724-25-185843,2025-08-11,7432543865
Vanguard,MSFT,594918104,2025-09-30,11772333,6097479877,MAX_ACROSS_FILER_CIKS,0000102909,0000102909-25-000353,2025-11-07,7433166379
Vanguard,MSFT,594918104,2025-12-31,644039633,311470447311,MAX_ACROSS_FILER_CIKS,0000102909,0000102909-26-000031,2026-01-29,7432377655
