group,ticker,mapped_cusip,report_date,shares_or_principal_consolidated,value_usd_thousands_consolidated,consolidation_method,selected_filer_cik,selected_accession,selected_filing_date,shares_outstanding
BlackRock,AMZN,023135106,2017-09-30,610508,586912,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-17-000128,2017-11-14,480379517
BlackRock,AMZN,023135106,2017-12-31,629188,735816,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-18-000003,2018-02-09,481872175
BlackRock,AMZN,023135106,2018-03-31,621145,899008,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-18-000035,2018-05-09,484107183
BlackRock,AMZN,023135106,2018-06-30,1202042,2043231,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-18-000066,2018-08-09,485226904
BlackRock,AMZN,023135106,2018-09-30,1077469,2158170,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-18-000095,2018-11-09,487741189
BlackRock,AMZN,023135106,2018-12-31,1109559,1666524,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-19-000003,2019-02-08,488968628
BlackRock,AMZN,023135106,2019-03-31,1155690,2057995,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-19-000034,2019-05-09,491202890
BlackRock,AMZN,023135106,2019-06-30,1128591,2137134,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-19-000100,2019-08-23,492331776
BlackRock,AMZN,023135106,2019-09-30,1158171,2010481,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-19-000103,2019-11-08,494656015
BlackRock,AMZN,023135106,2019-12-31,1142717,2111558,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-20-000006,2020-02-13,495797220
BlackRock,AMZN,023135106,2020-03-31,1137711,2218218,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-20-000038,2020-05-01,497810444
BlackRock,AMZN,023135106,2020-06-30,1133063,3125917,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-20-000070,2020-08-14,498776032
BlackRock,AMZN,023135106,2020-09-30,1115213,3511505,MAX_ACROSS_FILER_CIKS,0001364742,0001426459-20-000005,2020-11-06,500889651
BlackRock,AMZN,023135106,2020-12-31,1124127,3661203,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-21-000004,2021-02-05,501751183
